step_ms,FL_hip,FL_knee,FR_hip,FR_knee,RL_hip,RL_knee,RR_hip,RR_knee
650.00,0.809569,-1.205931,0.659620,-1.119221,0.821756,-1.124310,0.904297,-1.117600
660.00,0.808092,-1.175931,0.629620,-1.149221,0.816346,-1.153728,0.934297,-1.087600
670.00,0.821457,-1.147178,0.599620,-1.166023,0.796009,-1.183728,0.953340,-1.068956
680.00,0.849610,-1.132471,0.569620,-1.167974,0.766009,-1.213728,0.957580,-1.064937
690.00,0.879610,-1.132225,0.551763,-1.155178,0.736009,-1.229398,0.947040,-1.075393
700.00,0.909610,-1.146479,0.548426,-1.127651,0.706009,-1.230316,0.921781,-1.100154
710.00,0.927409,-1.175087,0.559766,-1.097651,0.690248,-1.216628,0.891782,-1.130154
720.00,0.930341,-1.205087,0.585382,-1.067651,0.689265,-1.188547,0.861782,-1.160154
730.00,0.918432,-1.235087,0.615382,-1.037651,0.702976,-1.158547,0.831782,-1.182630
740.00,0.891698,-1.250628,0.645382,-1.022099,0.731436,-1.128547,0.815694,-1.190409
750.00,0.861698,-1.251400,0.664600,-1.021212,0.761436,-1.106837,0.814055,-1.183448
760.00,0.831698,-1.237333,0.668971,-1.035046,0.791436,-1.099811,0.827083,-1.161778
770.00,0.801698,-1.208475,0.658464,-1.063675,0.810822,-1.107624,0.854438,-1.131778
780.00,0.786251,-1.178475,0.633141,-1.093675,0.815358,-1.130215,0.884438,-1.101778
790.00,0.785655,-1.148475,0.603141,-1.123675,0.805037,-1.160215,0.914438,-1.071778
800.00,0.799925,-1.128285,0.573141,-1.139170,0.779813,-1.190215,0.930455,-1.055790
810.00,0.828921,-1.122517,0.543141,-1.139827,0.749813,-1.216548,0.931617,-1.054536
820.00,0.858921,-1.131307,0.526926,-1.125774,0.719813,-1.228404,0.917961,-1.067683
830.00,0.888921,-1.154619,0.525420,-1.097069,0.695271,-1.225529,0.889576,-1.095103
840.00,0.904386,-1.184619,0.538625,-1.067069,0.685544,-1.208082,0.859576,-1.125103
850.00,0.904930,-1.214619,0.565959,-1.037069,0.690613,-1.178082,0.829576,-1.155103
860.00,0.890602,-1.238314,0.595959,-1.010640,0.710320,-1.148082,0.806729,-1.172606
870.00,0.861553,-1.247464,0.625959,-1.000000,0.740320,-1.118083,0.797833,-1.175377
880.00,0.831553,-1.241825,0.641800,-1.002661,0.770320,-1.101358,0.803425,-1.163483
890.00,0.801553,-1.221358,0.642744,-1.020123,0.800320,-1.099450,0.823657,-1.136936
900.00,0.777272,-1.191358,0.628822,-1.050123,0.816249,-1.112385,0.853657,-1.106936
910.00,0.767771,-1.161358,0.600050,-1.080123,0.817276,-1.140112,0.883657,-1.076936
920.00,0.773084,-1.131358,0.570050,-1.110123,0.803437,-1.170112,0.913657,-1.046937
930.00,0.793228,-1.114334,0.540050,-1.125354,0.774684,-1.200112,0.929085,-1.031488
940.00,0.823228,-1.112049,0.513335,-1.125723,0.744684,-1.220016,0.929612,-1.030890
950.00,0.853228,-1.124422,0.500823,-1.111376,0.714684,-1.225382,0.915358,-1.044685
960.00,0.883228,-1.151388,0.503034,-1.082417,0.692781,-1.216150,0.886388,-1.072708
970.00,0.898961,-1.181388,0.519798,-1.052418,0.685465,-1.192819,0.856388,-1.102708
980.00,0.899788,-1.211388,0.549798,-1.022418,0.692880,-1.162819,0.826388,-1.132708
990.00,0.885720,-1.231366,0.579798,-1.003330,0.715061,-1.132819,0.807367,-1.149174
1000.00,0.856837,-1.236675,0.609798,-1.000000,0.745061,-1.102819,0.802885,-1.150797
1010.00,0.826837,-1.227199,0.625287,-1.010302,0.775060,-1.086892,0.813092,-1.137723
1020.00,0.796837,-1.202894,0.625881,-1.035213,0.805060,-1.085801,0.837808,-1.110048
1030.00,0.780213,-1.172894,0.611593,-1.065213,0.820281,-1.099574,0.867808,-1.080048
1040.00,0.778424,-1.142895,0.582420,-1.095213,0.820603,-1.128198,0.897808,-1.050048
1050.00,0.791480,-1.112895,0.552420,-1.119606,0.806038,-1.158198,0.927256,-1.024176
1060.00,0.819374,-1.096069,0.522420,-1.129174,0.776548,-1.188198,0.942147,-1.012776
1070.00,0.849374,-1.093886,0.501361,-1.123922,0.746548,-1.205113,0.942208,-1.016092
1080.00,0.879374,-1.106418,0.494760,-1.103874,0.716548,-1.207348,0.927462,-1.033988
1090.00,0.906598,-1.133520,0.502873,-1.073874,0.697422,-1.194957,0.898046,-1.063988
1100.00,0.919227,-1.163520,0.525414,-1.043874,0.692956,-1.168395,0.868046,-1.093988
1110.00,0.916993,-1.193520,0.555414,-1.013874,0.703121,-1.138395,0.838046,-1.123988
